company,company_key,prediction_date,horizon_end,ranking_score,label_state
InDebted Holdings Pty Ltd,indebtedpty,2024-09-24,2027-09-24,0.5534641428438166,insufficient_followup
"Allstar Gaming, Inc.",allstargaming,2023-12-12,2026-12-12,0.5532869986305474,insufficient_followup
Brisk Labs Corp.,brisk,2025-03-25,2028-03-25,0.5527926440015887,insufficient_followup
Orocorp Technologies Private Limited,orocorpprivate,2023-10-12,2026-10-12,0.5506708765739159,insufficient_followup
"Vecna Robotics, Inc.",vecnarobotics,2024-06-20,2027-06-20,0.5503490358588186,insufficient_followup
"Guangzhou Lupeng Pharmaceutical Co., Ltd.",guangzhoulupengpharmaceutical,2025-12-10,2028-12-10,0.5501339479262006,insufficient_followup
"Hostie AI, Inc.",hostieai,2026-07-08,2029-07-08,0.5494562015309895,insufficient_followup
CAST AI Group Inc.,castai,2025-04-30,2028-04-30,0.5489697752316194,insufficient_followup
"Summer Health, Inc.",summerhealth,2024-04-23,2027-04-23,0.5488434915788724,insufficient_followup
"Zolve Innovations, Inc.",zolveinnovations,2025-03-11,2028-03-11,0.548586023659534,insufficient_followup
"Splight, Inc.",splight,2024-07-24,2027-07-24,0.5485292950027246,insufficient_followup
"ShoulderTap Technologies, Inc.",shouldertap,2026-01-26,2029-01-26,0.5468119622568046,insufficient_followup
"401GO, Inc.",401go,2024-04-23,2027-04-23,0.5452233195433999,insufficient_followup
"Hydra Host, Inc.",hydrahost,2026-06-15,2029-06-15,0.5448202839020052,insufficient_followup
Billables Incorporated,billables,2026-06-09,2029-06-09,0.5447683629716276,insufficient_followup
"Old Well Labs, Inc.",oldwell,2026-01-20,2029-01-20,0.5441076207754082,insufficient_followup
M2X Energy Inc.,m2xenergy,2024-06-20,2027-06-20,0.5435704398079207,insufficient_followup
Candid Care Co.,candidcare,2023-12-31,2026-12-31,0.5433705887726628,insufficient_followup
"Steno Agency, Inc.",stenoagency,2026-03-26,2029-03-26,0.5418302194192046,insufficient_followup
"Career Allies, Inc.",careerallies,2024-05-17,2027-05-17,0.5404798454933689,insufficient_followup
"Zocks Communications, INC.",zockscommunications,2025-03-06,2028-03-06,0.5398485439132158,insufficient_followup
"Trellis Research, Inc.",trellisresearch,2023-08-23,2026-08-23,0.5397318909933955,insufficient_followup
"Checkpoint Surgical, Inc.",checkpointsurgical,2024-06-13,2027-06-13,0.5389729668156076,insufficient_followup
"Lumen Orbit, Inc",lumenorbit,2024-10-24,2027-10-24,0.5384522361530161,insufficient_followup
"Ayr Energy, Inc.",ayrenergy,2026-04-15,2029-04-15,0.5384450599390207,insufficient_followup
"Segmed, Inc.",segmed,2024-09-03,2027-09-03,0.5368494364557737,insufficient_followup
NovoLINC Inc.,novolinc,2025-12-18,2028-12-18,0.5367366600325305,insufficient_followup
"Metaplane, Inc.",metaplane,2024-03-05,2027-03-05,0.5360542800456559,insufficient_followup
"Relay, Inc.",relay,2026-05-05,2029-05-05,0.5353205705561412,insufficient_followup
"Sitration, Inc.",sitration,2024-06-05,2027-06-05,0.5345925582655278,insufficient_followup
ClearVector Inc.,clearvector,2025-05-13,2028-05-13,0.534181151832026,insufficient_followup
"P0 Security, Inc.",p0security,2024-09-10,2027-09-10,0.5341715806034679,insufficient_followup
Digital Onboarding Inc.,digitalonboarding,2024-01-18,2027-01-18,0.5334288390645759,insufficient_followup
"RISA Labs, Inc.",risa,2026-01-13,2029-01-13,0.5326953512664453,insufficient_followup
"knownwell, inc.",knownwell,2025-10-20,2028-10-20,0.5326164134018011,insufficient_followup
"Maven, AGI, Inc.",mavenagi,2024-05-29,2027-05-29,0.5324352476277092,insufficient_followup
"Catena Labs, Inc.",catena,2026-05-20,2029-05-20,0.5322432412720508,insufficient_followup
Ketryx Corporation,ketryx,2023-12-05,2026-12-05,0.5319427326352907,insufficient_followup
"Cargado, Inc.",cargado,2025-04-07,2028-04-07,0.5318451585229093,insufficient_followup
Nuclearn Inc.,nuclearn,2025-09-09,2028-09-09,0.5317953136870028,insufficient_followup
"Sixfold AI, Inc.",sixfoldai,2024-06-05,2027-06-05,0.5317594321282608,insufficient_followup
"Rally HQ, Inc.",rallyhq,2025-06-02,2028-06-02,0.5317109575792368,insufficient_followup
Noodle Cat Games Company,noodlecatgames,2023-10-20,2026-10-20,0.5317081976333633,insufficient_followup
"Shenzhen Jiecheng Nickel Cobalt New Energy Technology Co., Ltd.",shenzhenjiechengnickelcobaltnewenergy,2026-04-30,2029-04-30,0.5311377914471376,insufficient_followup
"Andium, Inc.",andium,2024-10-29,2027-10-29,0.5309827817865076,insufficient_followup
"Cinder Technologies, Inc.",cinder,2026-05-12,2029-05-12,0.5296805343257768,insufficient_followup
"Ursa Major Technologies, Inc.",ursamajor,2025-11-18,2028-11-18,0.5285930579636535,insufficient_followup
"Steelhead Technologies, Inc.",steelhead,2024-11-12,2027-11-12,0.5285695122170899,insufficient_followup
"Layr Holdings, Inc.",layr,2023-10-24,2026-10-24,0.5278087405404017,insufficient_followup
DittoLive Incorporated,dittolive,2025-03-06,2028-03-06,0.527569219062408,insufficient_followup
"Prescient AI, Inc.",prescientai,2024-03-12,2027-03-12,0.5273208566884189,insufficient_followup
"InStride Health, Inc.",instridehealth,2026-06-15,2029-06-15,0.5269968710685887,insufficient_followup
Hocco Industries Private Limited,hoccoindustriesprivate,2025-09-27,2028-09-27,0.5265938052699206,insufficient_followup
"Lyzr, Inc.",lyzr,2026-03-09,2029-03-09,0.5264601006501991,insufficient_followup
Searchable Limited,searchable,2026-05-18,2029-05-18,0.5253153684149242,insufficient_followup
"HighByte, Inc.",highbyte,2024-04-23,2027-04-23,0.5246267950226396,insufficient_followup
Progressive Growth Partners Pty Ltd,progressivegrowthpartnerspty,2024-10-10,2027-10-10,0.5241208865000089,insufficient_followup
"Podcastle, Inc.",podcastle,2024-02-01,2027-02-01,0.5229858344787289,insufficient_followup
"Visana Health, Inc.",visanahealth,2025-08-18,2028-08-18,0.5223746888306554,insufficient_followup
"Power Life Sciences, Inc.",powerlifesciences,2023-12-22,2026-12-22,0.5223537373140091,insufficient_followup
Private Tech Inc.,privatetech,2025-03-19,2028-03-19,0.5209695771653083,insufficient_followup
"Simplifyber, Inc.",simplifyber,2025-04-10,2028-04-10,0.5206229431247318,insufficient_followup
Far Homes Inc.,farhomes,2025-12-18,2028-12-18,0.5190470260357558,insufficient_followup
Evertune Inc.,evertune,2025-08-12,2028-08-12,0.5188665466977862,insufficient_followup
"Qventus, Inc.",qventus,2025-01-13,2028-01-13,0.5186116953722432,insufficient_followup
"ASMOne, Inc.",asmone,2026-04-20,2029-04-20,0.5183886039980423,insufficient_followup
"Blockskye, Inc.",blockskye,2025-07-17,2028-07-17,0.517575462736995,insufficient_followup
"Glycomine, Inc.",glycomine,2025-04-16,2028-04-16,0.5175257035511455,insufficient_followup
GRANATA BIO Corp,granatabio,2025-01-15,2028-01-15,0.5175238541899363,insufficient_followup
"Topicals RX, Inc.",topicalsrx,2024-03-14,2027-03-14,0.5173366366297667,insufficient_followup
"OffDeal, Inc.",offdeal,2025-07-29,2028-07-29,0.517328404639331,insufficient_followup
"Talus Bioscience, Inc.",talusbioscience,2024-08-20,2027-08-20,0.5171372757575401,insufficient_followup
"Nanjing Guiji Zhineng Technology Co., Ltd.",nanjingguijizhineng,2025-05-31,2028-05-31,0.5166539737797873,insufficient_followup
Liminal Insights Inc.,liminalinsights,2024-10-15,2027-10-15,0.5161261657264798,insufficient_followup
"Phospholutions, Inc.",phospholutions,2023-08-10,2026-08-10,0.5156290996872878,insufficient_followup
Chai Research Corp.,chairesearch,2023-09-24,2026-09-24,0.5156169572546218,insufficient_followup
Omni Pet Limited,omnipet,2026-06-22,2029-06-22,0.5148120734456345,insufficient_followup
"Portkey, Inc",portkey,2026-02-19,2029-02-19,0.5145116139590588,insufficient_followup
"Shepherd Labs, Inc.",shepherd,2024-02-07,2027-02-07,0.5144345069566348,insufficient_followup
"Ottometric, Inc",ottometric,2025-04-01,2028-04-01,0.5143683599864883,insufficient_followup
Intus Care Inc.,intuscare,2025-01-16,2028-01-16,0.5142767100458194,insufficient_followup
"Hangzhou Highlight Pharmaceutical Co., Ltd.",hangzhouhighlightpharmaceutical,2025-11-28,2028-11-28,0.5141865025846457,insufficient_followup
SuperOps Inc.,superops,2023-10-10,2026-10-10,0.5128277379225572,insufficient_followup
Workwise Solutions Inc.,workwisesolutions,2025-09-25,2028-09-25,0.5121831911565689,insufficient_followup
Hidden Level Inc.,hiddenlevel,2025-02-03,2028-02-03,0.5120379991460607,insufficient_followup
Clerq Inc.,clerq,2025-09-12,2028-09-12,0.5120196134127514,insufficient_followup
"Luminary Cloud, Inc.",luminarycloud,2025-09-15,2028-09-15,0.5117107244299132,insufficient_followup
"HYPERCRAFT, INC.",hypercraft,2025-06-04,2028-06-04,0.5116934742362753,insufficient_followup
"UZURV Holdings, Inc.",uzurv,2024-02-14,2027-02-14,0.5112605793924323,insufficient_followup
"EdgeRunner AI, Inc.",edgerunnerai,2025-05-01,2028-05-01,0.5109886548080635,insufficient_followup
"FlyGuys, Inc.",flyguys,2025-06-13,2028-06-13,0.5098216250711586,insufficient_followup
"Concourse Technologies, Inc.",concourse,2026-01-27,2029-01-27,0.5087928569261494,insufficient_followup
"Bolster, Inc.",bolster,2024-05-22,2027-05-22,0.5082604261473209,insufficient_followup
"Workweek Media, Inc.",workweekmedia,2024-04-19,2027-04-19,0.5065312512479379,insufficient_followup
"Foundation Alloy Technology Explorations, Inc.",foundationalloyexplorations,2026-06-16,2029-06-16,0.5065237296677118,insufficient_followup
"cTRL Therapeutics USA, Inc.",ctrltherapeuticsusa,2024-09-27,2027-09-27,0.5056942980272203,insufficient_followup
"Refraction Point, Inc.",refractionpoint,2024-02-07,2027-02-07,0.5053380396332519,insufficient_followup
PlumHQ,plumhq,2026-03-26,2029-03-26,0.5052762517261942,insufficient_followup
Analog One Corporation,analogone,2025-01-27,2028-01-27,0.5052159239270007,insufficient_followup
Unify AI Business Corp,unifyaibusiness,2024-10-08,2027-10-08,0.5047423154128955,insufficient_followup
IMTC Inc.,imtc,2025-12-04,2028-12-04,0.5033451420835978,insufficient_followup
"Saleo, Inc.",saleo,2023-10-05,2026-10-05,0.5032522800820767,insufficient_followup
Knapsack Company,knapsack,2025-05-02,2028-05-02,0.5028213324507124,insufficient_followup
"Aiera, Inc.",aiera,2025-06-02,2028-06-02,0.502271059885951,insufficient_followup
"WeatherPromise, Inc.",weatherpromise,2026-01-13,2029-01-13,0.5022100050216105,insufficient_followup
"Stacklet, Inc.",stacklet,2024-06-04,2027-06-04,0.5020339850428155,insufficient_followup
"Alembic Technologies, Inc.",alembic,2025-03-28,2028-03-28,0.5017154058190479,insufficient_followup
pValue Inc.,pvalue,2025-03-25,2028-03-25,0.5014080764289145,insufficient_followup
"Arcade Software, Inc.",arcadesoftware,2024-11-17,2027-11-17,0.5008736211257074,insufficient_followup
"ThayerMahan, Inc.",thayermahan,2024-01-09,2027-01-09,0.5008182812405948,insufficient_followup
"Viscardia, Inc.",viscardia,2025-12-02,2028-12-02,0.5007602058870939,insufficient_followup
Tipping Mr Pink Pvt Ltd,tippingmrpinkpvt,2026-03-18,2029-03-18,0.5004403393716693,insufficient_followup
"Cutback Coach, Inc.",cutbackcoach,2023-11-15,2026-11-15,0.5003811108245472,insufficient_followup
Claros Technologies Inc.,claros,2025-02-27,2028-02-27,0.4984612285477754,insufficient_followup
"Rilian Technologies, Inc.",rilian,2026-04-23,2029-04-23,0.4984340954180459,insufficient_followup
"Mojave Energy Systems, Inc.",mojaveenergysystems,2024-12-18,2027-12-18,0.49843363468140595,insufficient_followup
Baton Market Inc.,batonmarket,2025-01-21,2028-01-21,0.49833410742439127,insufficient_followup
"Winsome Truth, Inc.",winsometruth,2024-09-10,2027-09-10,0.4978872709131436,insufficient_followup
Avextra AG,avextraag,2024-02-07,2027-02-07,0.4972041311354459,insufficient_followup
"Figur8, Inc.",figur8,2023-08-08,2026-08-08,0.49715068287689035,insufficient_followup
Elixir Technologies Ltd.,elixir,2024-03-12,2027-03-12,0.496915797594683,insufficient_followup
"Allure Security Technology, Inc.",alluresecurity,2024-04-03,2027-04-03,0.4967622809413182,insufficient_followup
"Salted, Inc.",salted,2023-10-17,2026-10-17,0.4955684976356433,insufficient_followup
BotBuilt Inc.,botbuilt,2023-12-27,2026-12-27,0.4951069180134577,insufficient_followup
Piston Technologies Inc.,piston,2026-06-01,2029-06-01,0.4941625499503767,insufficient_followup
Hakimo Inc.,hakimo,2026-07-08,2029-07-08,0.4941480473660811,insufficient_followup
"Eradivir, Inc.",eradivir,2025-10-07,2028-10-07,0.49348646287189984,insufficient_followup
"Silent Push, Inc.",silentpush,2024-12-11,2027-12-11,0.49301487885882617,insufficient_followup
"Carpool Logistics, Inc.",carpoollogistics,2025-03-12,2028-03-12,0.49288554202859686,insufficient_followup
"Kyron Learning, PBC",kyronlearning,2023-11-15,2026-11-15,0.49207885333389084,insufficient_followup
"10000, Inc.",10000,2025-09-02,2028-09-02,0.49072814799463244,insufficient_followup
Bespoken Spirits Inc.,bespokenspirits,2025-10-20,2028-10-20,0.49066859613715136,insufficient_followup
"CytoTronics, Inc.",cytotronics,2024-09-05,2027-09-05,0.4903804784885217,insufficient_followup
"Labviva, Inc.",labviva,2025-01-13,2028-01-13,0.49024390442236954,insufficient_followup
Impart Security Inc.,impartsecurity,2025-06-05,2028-06-05,0.48830705606399083,insufficient_followup
"Rhino HealthTech, Inc.",rhinohealthtech,2023-10-04,2026-10-04,0.48818369439861187,insufficient_followup
Enable Dental Inc.,enabledental,2024-11-05,2027-11-05,0.4880736974658681,insufficient_followup
Swachh Saathi Private Limited,swachhsaathiprivate,2025-08-12,2028-08-12,0.48785004766380236,insufficient_followup
"Envisagenics, Inc.",envisagenics,2024-06-04,2027-06-04,0.4868445922417411,insufficient_followup
Rivet Work Inc.,rivetwork,2025-06-12,2028-06-12,0.485609001288276,insufficient_followup
"Fond of You, Inc.",fondofyou,2026-02-10,2029-02-10,0.48559384176567455,insufficient_followup
PPIO,ppio,2025-04-30,2028-04-30,0.4849670867207669,insufficient_followup
Upward Financial Inc.,upwardfinancial,2025-11-10,2028-11-10,0.48355499338210367,insufficient_followup
"Navigantis, Inc.",navigantis,2024-07-25,2027-07-25,0.48346965330762676,insufficient_followup
MeaCor Inc.,meacor,2024-05-14,2027-05-14,0.4828855772773074,insufficient_followup
Pico MES Inc.,picomes,2023-08-22,2026-08-22,0.4826195842280633,insufficient_followup
Scitara Corporation,scitara,2026-06-18,2029-06-18,0.4825103538905551,insufficient_followup
"Wuhan Changjin Photonics Technology Co., Ltd (SHSE:688635)",wuhanchangjinphotonicsshse688635,2025-03-26,2028-03-26,0.4822971985569345,insufficient_followup
"Chizhou Yunzhong Electronic Science & Technology Co., Ltd.",chizhouyunzhongelectronicscience,2025-12-16,2028-12-16,0.48185592193263177,insufficient_followup
"Exum Instruments, Inc.",exuminstruments,2024-03-22,2027-03-22,0.48099721684514685,insufficient_followup
LiveFlow Inc.,liveflow,2024-09-24,2027-09-24,0.47992689261327376,insufficient_followup
HeraldAPI Inc.,heraldapi,2024-10-16,2027-10-16,0.4797369340559181,insufficient_followup
"Ventiva, Inc.",ventiva,2024-02-21,2027-02-21,0.4784831171013834,insufficient_followup
"Dinari, Inc.",dinari,2025-05-01,2028-05-01,0.47817639036470444,insufficient_followup
"Nirmata, Inc.",nirmata,2025-02-10,2028-02-10,0.4780227944462313,insufficient_followup
Bioniq Health-Tech Solutions Limited,bioniqhealthtechsolutions,2024-10-22,2027-10-22,0.4777658786120587,insufficient_followup
"RAD Security, Inc.",radsecurity,2025-02-24,2028-02-24,0.47773757579716436,insufficient_followup
"FINDMINE, Inc.",findmine,2024-04-30,2027-04-30,0.47590161533995784,insufficient_followup
"ABXR Labs, Inc.",abxr,2024-08-13,2027-08-13,0.4751464679600906,insufficient_followup
SingleFile Technologies Inc.,singlefile,2025-02-19,2028-02-19,0.47389547633675,insufficient_followup
"OPAQUE Systems, Inc.",opaquesystems,2026-02-12,2029-02-12,0.4736599239170623,insufficient_followup
"Uplinq, Inc.",uplinq,2025-05-12,2028-05-12,0.47355389659650493,insufficient_followup
"Mosh, PBC",mosh,2026-05-06,2029-05-06,0.47310020520845947,insufficient_followup
AgZen Inc.,agzen,2026-02-20,2029-02-20,0.47264661467147034,insufficient_followup
"Newton Research, Inc.",newtonresearch,2025-08-05,2028-08-05,0.4722004926724812,insufficient_followup
"Ocean Aero, Inc.",oceanaero,2026-01-20,2029-01-20,0.47156197461782745,insufficient_followup
"Compa Technologies, Inc.",compa,2024-05-20,2027-05-20,0.4714024128637654,insufficient_followup
Vividly Inc.,vividly,2025-01-14,2028-01-14,0.4711158061270539,insufficient_followup
"Upheal, Inc.",upheal,2024-11-14,2027-11-14,0.4695551351258447,insufficient_followup
"GrailPay Holdings, Inc.",grailpay,2026-06-25,2029-06-25,0.4692029506042265,insufficient_followup
"Squint, Inc.",squint,2023-11-29,2026-11-29,0.4690341982161175,insufficient_followup
"SWARM Engineering, Inc.",swarmengineering,2026-06-10,2029-06-10,0.468907962801827,insufficient_followup
Immerse Inc.,immerse,2024-01-08,2027-01-08,0.4682458177051393,insufficient_followup
"Hangzhou Ganzhicao Technology Co., Ltd.",hangzhouganzhicao,2026-01-31,2029-01-31,0.46694097219537833,insufficient_followup
"Multitude Insights, Inc.",multitudeinsights,2026-02-27,2029-02-27,0.4665944223368912,insufficient_followup
"Joy Memories, Inc.",joymemories,2025-11-12,2028-11-12,0.4661049820660066,insufficient_followup
"Nooks Communications, Inc.",nookscommunications,2024-04-24,2027-04-24,0.4656258581178857,insufficient_followup
EMTECH Solutions Inc.,emtechsolutions,2024-09-10,2027-09-10,0.4648792901078751,insufficient_followup
ZBiotics Company,zbiotics,2024-04-09,2027-04-09,0.46472705897611155,insufficient_followup
Spade Data Inc.,spadedata,2023-12-05,2026-12-05,0.46375943200407616,insufficient_followup
"Pow Genetic Solutions, Inc.",powgeneticsolutions,2023-10-04,2026-10-04,0.4635601973121485,insufficient_followup
"CoverForce, Inc.",coverforce,2025-03-05,2028-03-05,0.46267907841663164,insufficient_followup
Framework Computer Inc,frameworkcomputer,2024-04-23,2027-04-23,0.46266641264182684,insufficient_followup
"Solestial, Inc.",solestial,2025-05-15,2028-05-15,0.4619069667470309,insufficient_followup
"Trillium Renewable Chemicals, Inc.",trilliumrenewablechemicals,2026-05-05,2029-05-05,0.46080234955290644,insufficient_followup
"Xanadu Bio, Inc.",xanadubio,2025-08-27,2028-08-27,0.460726120515723,insufficient_followup
"Clazar, Inc.",clazar,2024-04-18,2027-04-18,0.46059397243532574,insufficient_followup
"Anodyne Nanotech, Inc.",anodynenanotech,2026-06-11,2029-06-11,0.46052875901813256,insufficient_followup
"Zuub, Inc.",zuub,2024-06-25,2027-06-25,0.46044289281818884,insufficient_followup
"Roam Home, Inc.",roamhome,2025-04-02,2028-04-02,0.4601844277368633,insufficient_followup
Branch Energy Holdings Inc.,branchenergy,2024-08-07,2027-08-07,0.46007704217971407,insufficient_followup
"Foundation Devices, Inc.",foundationdevices,2026-01-20,2029-01-20,0.45839733212636746,insufficient_followup
"Equipifi, Inc.",equipifi,2026-05-14,2029-05-14,0.4581126855998475,insufficient_followup
"Shenzhen Camsense Technologies Co., Ltd.",shenzhencamsense,2025-09-25,2028-09-25,0.4578876589698115,insufficient_followup
Heyday Health Corporation,heydayhealth,2024-06-24,2027-06-24,0.4572717395516438,insufficient_followup
"Cheetah Technologies, Inc.",cheetah,2024-05-09,2027-05-09,0.45654475533859973,insufficient_followup
SmartCoin Financials Private Limited,smartcoinfinancialsprivate,2026-02-09,2029-02-09,0.45629638067781797,insufficient_followup
"Access Vascular, Inc.",accessvascular,2023-10-31,2026-10-31,0.4558324346259365,insufficient_followup
"Transfr, Inc.",transfr,2023-09-28,2026-09-28,0.45582693147228176,insufficient_followup
"Moon Technologies, Inc.",moon,2026-03-05,2029-03-05,0.4556996280086205,insufficient_followup
"Monnai, Inc.",monnai,2026-01-14,2029-01-14,0.4554538502795414,insufficient_followup
Lunar Outpost Inc,lunaroutpost,2024-11-13,2027-11-13,0.4552436333603735,insufficient_followup
"Frostbyte Technologies, Inc",frostbyte,2024-04-24,2027-04-24,0.45417928383412653,insufficient_followup
"farm-ng, Inc.",farmng,2024-01-18,2027-01-18,0.4536254352903635,insufficient_followup
"10Beauty, Inc.",10beauty,2024-02-06,2027-02-06,0.4535318004461736,insufficient_followup
"GreenSpark Software, Inc.",greensparksoftware,2024-01-19,2027-01-19,0.45328867647965887,insufficient_followup
"StackShare, Inc.",stackshare,2024-08-01,2027-08-01,0.45288529860492355,insufficient_followup
Pomerium Inc.,pomerium,2024-06-20,2027-06-20,0.452719118015821,insufficient_followup
"Glimpse Engineering, Inc.",glimpseengineering,2025-03-05,2028-03-05,0.45186100201031776,insufficient_followup
"Arpio, Inc.",arpio,2026-06-03,2029-06-03,0.4508525224300855,insufficient_followup
"Torpago, Inc.",torpago,2024-06-06,2027-06-06,0.45066930053193077,insufficient_followup
"Leapfrog Power, Inc.",leapfrogpower,2023-11-16,2026-11-16,0.45002946410362443,insufficient_followup
"Opsera, Inc.",opsera,2023-10-04,2026-10-04,0.4477769691243234,insufficient_followup
"Ovation Up, Inc.",ovationup,2024-06-20,2027-06-20,0.4475438180052491,insufficient_followup
"Enspire DBS Therapy, Inc.",enspiredbstherapy,2026-01-13,2029-01-13,0.4473437235147208,insufficient_followup
"Hunan KunlunMeta Artificial Intelligence Application Software Co., Ltd.",hunankunlunmetaartificialintelligenceapplicationsoftware,2026-06-07,2029-06-07,0.4471635750599588,insufficient_followup
"Saltbox, Inc.",saltbox,2026-05-06,2029-05-06,0.447149379006685,insufficient_followup
"LongBio Pharma (Suzhou) Co., Ltd. (SEHK:1779)",longbiopharmasuzhousehk1779,2023-12-07,2026-12-07,0.44690840823813616,insufficient_followup
"Pair Team, PBC",pairteam,2024-06-10,2027-06-10,0.4464664719973779,insufficient_followup
"FairPlay AI, Inc.",fairplayai,2025-02-28,2028-02-28,0.4443040127577219,insufficient_followup
"OfferFit, Inc.",offerfit,2024-12-31,2027-12-31,0.44371888253483455,insufficient_followup
"HazelTree Fund Services, Inc.",hazeltreefundservices,2024-12-20,2027-12-20,0.441734379754379,insufficient_followup
"Electric Solidus, Inc.",electricsolidus,2025-10-01,2028-10-01,0.44072043648025166,insufficient_followup
"Allermi, Inc.",allermi,2024-12-31,2027-12-31,0.44068493943958437,insufficient_followup
"Stride Funding, Inc.",stridefunding,2024-04-26,2027-04-26,0.4404819014457359,insufficient_followup
"Kyros Care, PBC",kyroscare,2023-08-23,2026-08-23,0.44047778523388514,insufficient_followup
"Empirical Spine, Inc.",empiricalspine,2024-06-20,2027-06-20,0.4398698155090315,insufficient_followup
"Iron Sheepdog Holdings, Inc.",ironsheepdog,2024-03-25,2027-03-25,0.4398541429968614,insufficient_followup
"BeMe Health, Inc",bemehealth,2024-08-22,2027-08-22,0.43894319627382816,insufficient_followup
"Workshop Software, Inc.",workshopsoftware,2025-03-18,2028-03-18,0.4387832892762533,insufficient_followup
"Lumia Health, Inc.",lumiahealth,2026-04-09,2029-04-09,0.4378682181953972,insufficient_followup
"Beamable, Inc.",beamable,2025-02-04,2028-02-04,0.43730944303691355,insufficient_followup
"Laminar, Inc.",laminar,2025-05-15,2028-05-15,0.43604513229421127,insufficient_followup
"DUST Identity, Inc.",dustidentity,2023-12-05,2026-12-05,0.4354720131720022,insufficient_followup
"Overview Energy, Inc.",overviewenergy,2024-09-12,2027-09-12,0.43456785933068987,insufficient_followup
"D-Tools, Inc.",dtools,2025-08-05,2028-08-05,0.4344602410266249,insufficient_followup
"WorkHack, Inc.",workhack,2025-10-14,2028-10-14,0.43344339169225604,insufficient_followup
Fleek Commerce Inc.,fleekcommerce,2024-11-12,2027-11-12,0.4329675411778249,insufficient_followup
Connie Health Inc.,conniehealth,2026-06-18,2029-06-18,0.43280533470533683,insufficient_followup
"Ekotrope, Inc.",ekotrope,2025-10-10,2028-10-10,0.43259207381823406,insufficient_followup
"State Space Labs, Inc.",statespace,2026-04-14,2029-04-14,0.43245965731616276,insufficient_followup
"Tempo Therapeutics, Inc.",tempotherapeutics,2024-03-15,2027-03-15,0.4317851735477546,insufficient_followup
"Prospyr Medical, Inc.",prospyrmedical,2025-12-15,2028-12-15,0.4316873835576748,insufficient_followup
"zizzl holding company, inc.",zizzlholding,2026-04-01,2029-04-01,0.4308216898818341,insufficient_followup
"AvoMD, Inc.",avomd,2026-03-31,2029-03-31,0.4291946991316935,insufficient_followup
"Mojo AI, Inc.",mojoai,2026-02-24,2029-02-24,0.4290280851176977,insufficient_followup
"Olio Health, Inc.",oliohealth,2025-05-12,2028-05-12,0.4289069228772706,insufficient_followup
CollX Inc.,collx,2025-02-13,2028-02-13,0.4276600108084842,insufficient_followup
"Carbon Insurance, Inc.",carboninsurance,2024-03-28,2027-03-28,0.4273378077506395,insufficient_followup
"Hunan Mabgeek Biotech Co., Ltd.",hunanmabgeekbiotech,2024-04-24,2027-04-24,0.4270434632422577,insufficient_followup
"Sojo Industries, Inc.",sojoindustries,2024-07-23,2027-07-23,0.42644191539648457,insufficient_followup
"Enteligent, Inc.",enteligent,2024-05-14,2027-05-14,0.42574311873491,insufficient_followup
Tausight Inc.,tausight,2023-08-15,2026-08-15,0.42574296278919777,insufficient_followup
PPLabs Technology Limited,pplabs,2025-04-30,2028-04-30,0.4254548692093883,insufficient_followup
"Kryptos Biotechnologies, Inc.",kryptosbiotechnologies,2024-03-28,2027-03-28,0.42539484811748224,insufficient_followup
"General Counsel AI, Inc.",generalcounselai,2025-05-30,2028-05-30,0.4249656699426915,insufficient_followup
"Fanbase Social Media, Inc.",fanbasesocialmedia,2025-12-17,2028-12-17,0.4246064256391841,insufficient_followup
Dawn Aerospace Limited,dawnaerospace,2026-06-16,2029-06-16,0.4228680539572799,insufficient_followup
"Ubiety Technologies, Inc.",ubiety,2025-01-07,2028-01-07,0.4226671989981252,insufficient_followup
"arqu, Inc.",arqu,2024-09-22,2027-09-22,0.4217964289942677,insufficient_followup
Adyton PBC Inc.,adyton,2025-05-14,2028-05-14,0.42005410679958105,insufficient_followup
CRISPRQC Inc.,crisprqc,2024-01-04,2027-01-04,0.418245808395136,insufficient_followup
"Bigleaf Networks, Inc.",bigleafnetworks,2025-03-03,2028-03-03,0.417167525548777,insufficient_followup
"Avesha, Inc.",avesha,2024-10-11,2027-10-11,0.41667288594267116,insufficient_followup
HouseAmp Inc.,houseamp,2024-07-30,2027-07-30,0.4157894385708313,insufficient_followup
Rem3dy Health Limited,rem3dyhealth,2026-06-09,2029-06-09,0.4156380479170293,insufficient_followup
Helm Health Corp,helmhealth,2026-03-23,2029-03-23,0.4150711094446965,insufficient_followup
"DocToMe, Inc.",doctome,2025-09-25,2028-09-25,0.41461538619005145,insufficient_followup
"Creator Networks, Inc.",creatornetworks,2025-09-09,2028-09-09,0.41417090270644297,insufficient_followup
"Snout, Inc.",snout,2025-08-12,2028-08-12,0.4131433529238636,insufficient_followup
NuTiliti Inc.,nutiliti,2025-06-26,2028-06-26,0.41276221163723603,insufficient_followup
"4D Path, Inc.",4dpath,2026-05-05,2029-05-05,0.4127401988427865,insufficient_followup
"Uplandme, Inc.",uplandme,2023-10-20,2026-10-20,0.412286987504078,insufficient_followup
"SimplyWise, Inc.",simplywise,2025-10-23,2028-10-23,0.41182743695693563,insufficient_followup
"XL Batteries, Inc.",xlbatteries,2025-07-23,2028-07-23,0.41081431291376047,insufficient_followup
Line Services Inc.,lineservices,2025-11-18,2028-11-18,0.4103302268236375,insufficient_followup
MySimplePetLab Inc.,mysimplepetlab,2023-11-15,2026-11-15,0.40989581783482437,insufficient_followup
