company,company_key,prediction_date,horizon_end,ranking_score,label_state
"INCEPTIVE, INC.",inceptive,2023-09-07,2026-09-07,0.7890382924259739,insufficient_followup
"Seismic Therapeutic, Inc.",seismictherapeutic,2024-09-12,2027-09-12,0.7889489596895592,insufficient_followup
Colendi,colendi,2024-05-22,2027-05-22,0.7882844681768792,insufficient_followup
Vega Cyber Solutions Ltd.,vegacybersolutions,2025-08-16,2028-08-16,0.7872583147853015,insufficient_followup
"VEIR, Inc.",veir,2025-01-28,2028-01-28,0.7870385815699107,insufficient_followup
KOHO Financial Inc.,kohofinancial,2023-12-07,2026-12-07,0.7861203323029607,insufficient_followup
"Muon Space, Inc.",muonspace,2024-08-05,2027-08-05,0.7793185541942355,insufficient_followup
Sendle Pty Ltd,sendlepty,2024-07-02,2027-07-02,0.7791346255787778,insufficient_followup
Trip Drink Ltd,tripdrink,2025-11-10,2028-11-10,0.7771914451207734,insufficient_followup
Ingrasys Technology Mexico. S.A. de C.V.,ingrasysmexicosadecv,2026-05-21,2029-05-21,0.7762504743911987,insufficient_followup
Whale Dynamic,whaledynamic,2024-09-20,2027-09-20,0.7757873913655933,insufficient_followup
Infifresh Foods Limited,infifreshfoods,2024-12-26,2027-12-26,0.7741362996261681,insufficient_followup
"Protect AI, Inc.",protectai,2024-08-15,2027-08-15,0.7727512206316434,insufficient_followup
"Shandong Sinder Technology Co., Ltd",shandongsinder,2025-10-25,2028-10-25,0.7709404653834435,insufficient_followup
Gnau Inc.,gnau,2025-08-06,2028-08-06,0.7704046560670457,insufficient_followup
"Beijing Haizhi Technology Group Co., Ltd. (SEHK:2706)",beijinghaizhisehk2706,2025-05-31,2028-05-31,0.7702034802806361,insufficient_followup
Hume AI Inc,humeai,2025-07-09,2028-07-09,0.7686704790072532,insufficient_followup
"Reprieve Cardiovascular, Inc.",reprievecardiovascular,2025-08-13,2028-08-13,0.7685586995029597,insufficient_followup
"Erthos, Inc.",erthos,2023-09-11,2026-09-11,0.7667433059010672,insufficient_followup
"DeepCure, Inc.",deepcure,2024-04-11,2027-04-11,0.7643153887706412,insufficient_followup
Sei Labs Inc.,sei,2023-11-15,2026-11-15,0.7642070766646525,insufficient_followup
"Weimai Technology Co., Ltd.",weimai,2025-10-15,2028-10-15,0.7641002710740832,insufficient_followup
"Crossbow Therapeutics, Inc.",crossbowtherapeutics,2026-03-18,2029-03-18,0.762455023880371,insufficient_followup
Alsym Energy Inc.,alsymenergy,2024-04-03,2027-04-03,0.7603920595187702,insufficient_followup
"Beijing Wehand-Bio Pharmaceutical Co., Ltd.",beijingwehandbiopharmaceutical,2025-09-30,2028-09-30,0.7580446097560595,insufficient_followup
"Particle Industries, Inc.",particleindustries,2024-07-01,2027-07-01,0.7567469750008049,insufficient_followup
"Smith Health, Inc.",smithhealth,2024-01-23,2027-01-23,0.7566949256006188,insufficient_followup
"Shanghai Senyi Wisdom Information Technology Co., Ltd.",shanghaisenyiwisdominformation,2024-07-18,2027-07-18,0.7556691096306506,insufficient_followup
"Lone Gull Holdings, Ltd.",lonegull,2026-05-22,2029-05-22,0.7535658284487351,insufficient_followup
"FuriosaAI, Inc.",furiosaai,2025-06-05,2028-06-05,0.7455354885523944,insufficient_followup
"Yantai Lannacheng Biotechnology Co., Ltd.",yantailannachengbiotechnology,2026-07-06,2029-07-06,0.7450736212933413,insufficient_followup
Onyx Security Inc,onyxsecurity,2026-07-29,2029-07-29,0.7442899299543072,insufficient_followup
"Envisics, Inc.",envisics,2023-09-04,2026-09-04,0.7412597681141095,insufficient_followup
Digantara Industries Private Limited,digantaraindustriesprivate,2025-12-16,2028-12-16,0.7394290879619881,insufficient_followup
"Steadily Insurance Agency, Inc.",steadilyinsuranceagency,2025-04-23,2028-04-23,0.737234237542561,insufficient_followup
"Wuhan MEMSonics New Technology Co., Ltd.",wuhanmemsonicsnew,2025-11-19,2028-11-19,0.7346888844199095,insufficient_followup
"Slope Tech, Inc.",slopetech,2024-07-17,2027-07-17,0.7344021801856547,insufficient_followup
"Wuhan Silicon Integrated Co., Ltd.",wuhansiliconintegrated,2025-08-14,2028-08-14,0.7340487962792566,insufficient_followup
Buk SpA,bukspa,2025-01-06,2028-01-06,0.7286082082092193,insufficient_followup
Kream Corporation,kream,2024-07-30,2027-07-30,0.725963910273494,insufficient_followup
Galy Co.,galy,2024-07-10,2027-07-10,0.7249794465921333,insufficient_followup
PolyAI Limited,polyai,2025-12-15,2028-12-15,0.7244431992366808,insufficient_followup
Persefoni AI Inc.,persefoniai,2026-05-01,2029-05-01,0.7202903636665685,insufficient_followup
"eGenesis, Inc.",egenesis,2024-09-04,2027-09-04,0.720074359090394,insufficient_followup
"RevenueCat, Inc.",revenuecat,2025-05-22,2028-05-22,0.718555987988409,insufficient_followup
"Redbear AI Co., Ltd.",redbearai,2026-04-07,2029-04-07,0.7173132578804454,insufficient_followup
"Nectero Medical, Inc.",necteromedical,2024-04-11,2027-04-11,0.7161911620753388,insufficient_followup
"Klar Technologies, S.A. de C.V., S.F.P.",klarsadecvsfp,2025-07-01,2028-07-01,0.7155840763908232,insufficient_followup
Quicko TechnoSoft Labs Private Limited,quickotechnosoftprivate,2024-09-25,2027-09-25,0.7136044373307187,insufficient_followup
Pay.com.au Limited,paycomau,2026-05-31,2029-05-31,0.7123296552303598,insufficient_followup
Vulcan Elements Holdings Corp.,vulcanelements,2025-08-11,2028-08-11,0.7121170194942802,insufficient_followup
"Arbor Biotechnologies, Inc.",arborbiotechnologies,2025-03-18,2028-03-18,0.710028410285094,insufficient_followup
Rylo Inc.,rylo,2026-06-09,2029-06-09,0.7096011001922381,insufficient_followup
"MatrixSpace, Inc.",matrixspace,2026-03-24,2029-03-24,0.7073482487577403,insufficient_followup
"Click Therapeutics, Inc.",clicktherapeutics,2025-03-19,2028-03-19,0.706390295259487,insufficient_followup
"PollyEx, Inc.",pollyex,2024-09-10,2027-09-10,0.7052670436232991,insufficient_followup
Malta Inc.,malta,2023-11-30,2026-11-30,0.7036157835078914,insufficient_followup
"Yuen Kee Food Group Co., Ltd.",yuenkeefood,2025-12-31,2028-12-31,0.7011344744546135,insufficient_followup
Arc Boat Company,arcboat,2023-09-27,2026-09-27,0.7002223563623293,insufficient_followup
"Cloaked, Inc.",cloaked,2026-03-19,2029-03-19,0.6995040898777103,insufficient_followup
Prezent Inc.,prezent,2025-10-10,2028-10-10,0.6992413427029012,insufficient_followup
"Replicate, Inc.",replicate,2023-12-05,2026-12-05,0.6988406375916878,insufficient_followup
"PassiveLogic, Inc.",passivelogic,2025-09-18,2028-09-18,0.6974222382756089,insufficient_followup
"Flipside Crypto, Inc.",flipsidecrypto,2025-10-23,2028-10-23,0.6964739987673537,insufficient_followup
Entry Inc.,entry,2025-10-02,2028-10-02,0.6950798414616461,insufficient_followup
micro1 Inc.,micro1,2025-09-12,2028-09-12,0.69444683202681,insufficient_followup
"RunBuggy OMI, Inc.",runbuggyomi,2023-11-17,2026-11-17,0.6939964890455195,insufficient_followup
Hemanext Inc.,hemanext,2025-07-22,2028-07-22,0.6935217942926301,insufficient_followup
1k Kirana Bazaar,1kkiranabazaar,2024-04-29,2027-04-29,0.6933070356222123,insufficient_followup
Hyperdoc Inc.,hyperdoc,2025-09-04,2028-09-04,0.6879928282333404,insufficient_followup
Elephas Biosciences Corporation,elephasbiosciences,2024-01-23,2027-01-23,0.6879745913881432,insufficient_followup
"Kintsugi AI, Inc.",kintsugiai,2025-04-29,2028-04-29,0.6797213074402113,insufficient_followup
"Beacon Biosignals, Inc.",beaconbiosignals,2026-04-15,2029-04-15,0.6770734784154793,insufficient_followup
Nexxbase Marketing Private Limited,nexxbasemarketingprivate,2025-04-09,2028-04-09,0.6764815845615262,insufficient_followup
Apna Mart Shop And Earn Private Limited,apnamartshopandearnprivate,2026-07-29,2029-07-29,0.6751674381272609,insufficient_followup
"Jiangsu Weiheng Intelligent Technology Co., Ltd",jiangsuweihengintelligent,2023-12-31,2026-12-31,0.6716847645723626,insufficient_followup
"TurbineOne, Inc.",turbineone,2025-05-14,2028-05-14,0.6694792798074244,insufficient_followup
VulnCheck Inc.,vulncheck,2026-02-17,2029-02-17,0.6688856225237408,insufficient_followup
Munchmart Technologies Private Limited,munchmartprivate,2026-03-24,2029-03-24,0.6679924541043155,insufficient_followup
"Clear Labs, Inc.",clear,2025-01-13,2028-01-13,0.6649064339282155,insufficient_followup
"Mantel Capture, Inc.",mantelcapture,2024-09-05,2027-09-05,0.6644328305993742,insufficient_followup
Dash0 Inc.,dash0,2025-10-02,2028-10-02,0.6629399614462388,insufficient_followup
"Affinia Therapeutics, Inc.",affiniatherapeutics,2025-10-07,2028-10-07,0.6626460875742033,insufficient_followup
"ElectraSteel, Inc.",electrasteel,2025-04-24,2028-04-24,0.6622973430268254,insufficient_followup
