company,company_key,is_unicorn,label_source,index_date,outcome_date,matched_positive_company,match_method,match_gap_days,index_year,index_era,pre_round_count,has_pre_round,pre_rounds_with_amount,pre_funding_total_usd,ln_pre_funding,pre_funding_max_usd,ln_pre_funding_max,pre_last_post_money_usd,pre_max_post_money_usd,pre_unique_investor_count,pre_investor_count_max,years_of_history_pre,days_since_last_pre_round,max_feature_round_date,industry_group,continent,country,founded_year,has_founded_year,master_match_status,master_tier,probability,founding_year_cohort,funding_stage_proxy,total_funding_bucket,company_age_proxy,data_completeness,economic_period
"24M Technologies, Inc.",24m,1,capitaliq_post_money_ge_1b,2024-09-05,2024-09-05,"24M Technologies, Inc.",positive_self,0,2024,Post-2021,2,1,2,188500000.0,19.05460857015738,166670000.0,18.93152637351824,586740000.0,586740000.0,4,3,5.790554414784395,961,2022-01-18,Hardware & Industrials,North America,United States,-1,0,exact_unique,unicorn_current,0.9774976769100447,,2,Q4,3-7,round_history_only,2024
9fin Limited,9fin,1,capitaliq_post_money_ge_1b,2026-03-31,2026-03-31,9fin Limited,positive_self,0,2026,Post-2021,1,1,1,50000000.0,17.72753358339242,50000000.0,17.72753358339242,500000000.0,500000000.0,6,6,1.325119780971937,484,2024-12-02,Unknown,Unknown,,-1,0,ambiguous,unmatched,0.9662349019012303,,1,Q4,1-3,round_history_only,2025-2026
"Aalyria Technologies, Inc.",aalyria,1,capitaliq_post_money_ge_1b,2026-02-23,2026-02-23,"Aalyria Technologies, Inc.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Abba Platforms Inc.,abbaplatforms,1,capitaliq_post_money_ge_1b,2024-10-10,2024-10-10,Abba Platforms Inc.,positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Fintech,North America,United States,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2024
"ABLY Corp., Inc.",ably,1,capitaliq_post_money_ge_1b,2024-12-02,2024-12-02,"ABLY Corp., Inc.",positive_self,0,2024,Post-2021,2,1,2,94940000.0,18.368755681620414,55820000.0,17.837642803987176,704180000.0,749760000.0,7,6,2.8281998631074607,620,2023-03-23,AI & Data,Asia,South Korea,-1,0,exact_unique,unicorn_current,0.9659734654946299,,2,Q4,1-3,round_history_only,2024
Abnormal Security Corporation,abnormalsecurity,1,capitaliq_post_money_ge_1b,2024-08-06,2024-08-06,Abnormal Security Corporation,positive_self,0,2024,Post-2021,1,1,1,24000000.0,16.993564429978885,24000000.0,16.993564429978885,139300000.0,139300000.0,1,1,4.714579055441479,1722,2019-11-19,Enterprise Software,North America,United States,-1,0,exact_unique,unicorn_current,0.429799980289512,,1,Q4,3-7,round_history_only,2024
Aditya Birla Housing Finance Limited,adityabirlahousingfinance,1,capitaliq_post_money_ge_1b,2026-04-17,2026-04-17,Aditya Birla Housing Finance Limited,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Advanced Machine Intelligence SAS,advancedmachineintelligencesas,1,capitaliq_post_money_ge_1b,2026-01-30,2026-01-30,Advanced Machine Intelligence SAS,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Advance Information Technology LLC,advanceinformation,1,capitaliq_post_money_ge_1b,2025-07-02,2025-07-02,Advance Information Technology LLC,positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Aerojet Rocketdyne Holdings, Inc.",aerojetrocketdyne,1,capitaliq_post_money_ge_1b,2026-04-17,2026-04-17,"Aerojet Rocketdyne Holdings, Inc.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"AEW Technology Group Co., Ltd.",aew,1,capitaliq_post_money_ge_1b,2026-05-21,2026-05-21,"AEW Technology Group Co., Ltd.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Agility Robotics, Inc.",agilityrobotics,1,capitaliq_post_money_ge_1b,2025-03-31,2025-03-31,"Agility Robotics, Inc.",positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Airwallex (Shenzhen) Network Technology Co., Ltd.",airwallexshenzhennetwork,1,capitaliq_post_money_ge_1b,2025-05-31,2025-05-31,"Airwallex (Shenzhen) Network Technology Co., Ltd.",positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Allen Control Systems Inc.,allencontrolsystems,1,capitaliq_post_money_ge_1b,2026-06-05,2026-06-05,Allen Control Systems Inc.,positive_self,0,2026,Post-2021,1,1,1,12000000.0,16.300417291085605,12000000.0,16.300417291085605,16320000.0,16320000.0,3,3,2.130047912388775,778,2024-04-18,Hardware & Industrials,North America,United States,-1,0,exact_unique,unicorn_current,0.3101805139903948,,1,Q3,1-3,round_history_only,2025-2026
Allica Bank Limited,allicabank,1,capitaliq_post_money_ge_1b,2026-02-24,2026-02-24,Allica Bank Limited,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Fintech,Europe,United Kingdom,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2025-2026
"Alloy Therapeutics, Inc.",alloytherapeutics,1,capitaliq_post_money_ge_1b,2026-04-15,2026-04-15,"Alloy Therapeutics, Inc.",positive_self,0,2026,Post-2021,1,1,1,75000000.0,18.13299868483392,75000000.0,18.13299868483392,511890000.0,511890000.0,8,8,5.034907597535934,1839,2021-04-02,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9477141137231386,,1,Q4,3-7,round_history_only,2025-2026
"AlpacaDB, Inc.",alpacadb,1,capitaliq_post_money_ge_1b,2026-01-14,2026-01-14,"AlpacaDB, Inc.",positive_self,0,2026,Post-2021,1,1,1,10000000.0,16.118095750958314,10000000.0,16.118095750958314,17930000.0,17930000.0,5,5,5.248459958932238,1917,2020-10-15,Unknown,Unknown,,-1,0,unmatched,unmatched,0.37890682739446196,,1,Q3,3-7,round_history_only,2025-2026
Altruist LLC,altruist,1,capitaliq_post_money_ge_1b,2024-04-16,2024-04-16,Altruist LLC,positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Fintech,North America,United States,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2024
"Ambience Healthcare, Inc.",ambiencehealthcare,1,capitaliq_post_money_ge_1b,2025-07-29,2025-07-29,"Ambience Healthcare, Inc.",positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Health & Bio,Other,,-1,0,exact_unique,control_accelerator,0.9999655172413793,,0,Q1,0,limited_source_metadata,2025-2026
"Anaconda, Inc.",anaconda,1,capitaliq_post_money_ge_1b,2025-07-31,2025-07-31,"Anaconda, Inc.",positive_self,0,2025,Post-2021,1,1,1,2600000.0,14.77102238760702,2600000.0,14.77102238760702,342060000.0,342060000.0,0,0,4.139630390143737,1512,2021-06-10,Enterprise Software,North America,United States,-1,0,exact_unique,unicorn_current,0.7427385587899639,,1,Q2,3-7,round_history_only,2025-2026
"Anchor Labs, Inc.",anchor,1,capitaliq_post_money_ge_1b,2026-02-05,2026-02-05,"Anchor Labs, Inc.",positive_self,0,2026,Post-2021,1,1,1,17000000.0,16.648723960844016,17000000.0,16.648723960844016,69860000.0,69860000.0,3,3,8.098562628336756,2958,2017-12-31,Fintech,Unknown,,-1,0,exact_unique,control_accelerator,0.4890176610675651,,1,Q4,7+,round_history_only,2025-2026
Andromeda AI Inc.,andromedaai,1,capitaliq_post_money_ge_1b,2026-03-18,2026-03-18,Andromeda AI Inc.,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Anhui Shenji Technology Co., Ltd.",anhuishenji,1,capitaliq_post_money_ge_1b,2026-03-05,2026-03-05,"Anhui Shenji Technology Co., Ltd.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Anysphere, Inc.",anysphere,1,capitaliq_post_money_ge_1b,2025-05-05,2025-05-05,"Anysphere, Inc.",positive_self,0,2025,Post-2021,1,1,1,8000000.0,15.894952224644102,8000000.0,15.894952224644102,11820000.0,11820000.0,1,1,1.566050650239562,572,2023-10-11,Enterprise Software,North America,United States,-1,0,exact_unique,unicorn_current,0.1899250217889799,,1,Q3,1-3,round_history_only,2025-2026
"Apex Technology, Inc.",apex,1,capitaliq_post_money_ge_1b,2026-06-05,2026-06-05,"Apex Technology, Inc.",positive_self,0,2026,Post-2021,1,1,1,7810000.0,15.870915649856832,7810000.0,15.870915649856832,8130000.000000001,8130000.000000001,6,6,3.6139630390143735,1320,2022-10-24,Hardware & Industrials,North America,United States,-1,0,exact_unique,unicorn_current,0.34017423045060385,,1,Q3,3-7,round_history_only,2025-2026
Apollo Healthco Limited,apollohealthco,1,capitaliq_post_money_ge_1b,2024-09-27,2024-09-27,Apollo Healthco Limited,positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
"Applied Compute, Inc.",appliedcompute,1,capitaliq_post_money_ge_1b,2026-04-08,2026-04-08,"Applied Compute, Inc.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Enterprise Software,North America,United States,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2025-2026
"Applied Intuition, Inc.",appliedintuition,1,capitaliq_post_money_ge_1b,2024-03-12,2024-03-12,"Applied Intuition, Inc.",positive_self,0,2024,Post-2021,1,1,1,11500000.0,16.257857680289998,11500000.0,16.257857680289998,11500000.0,11500000.0,5,5,5.494866529774128,2007,2018-09-13,Hardware & Industrials,North America,United States,2017,1,exact_unique,unicorn_current,0.8710279256402741,2015-18,1,Q3,3-7,round+founding+master,2024
Appsflyer Ltd.,appsflyer,1,capitaliq_post_money_ge_1b,2026-06-22,2026-06-22,Appsflyer Ltd.,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Enterprise Software,North America,United States,2011,1,exact_unique,unicorn_current,0.9999655172413793,2010-14,0,Q1,0,limited_source_metadata,2025-2026
"Apptronik, Inc.",apptronik,1,capitaliq_post_money_ge_1b,2026-02-11,2026-02-11,"Apptronik, Inc.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Aragen Life Sciences Limited,aragenlifesciences,1,capitaliq_post_money_ge_1b,2025-01-13,2025-01-13,Aragen Life Sciences Limited,positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Ardonagh Group Holdings Limited,ardonagh,1,capitaliq_post_money_ge_1b,2025-06-30,2025-06-30,Ardonagh Group Holdings Limited,positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Arena Intelligence, Inc.",arenaintelligence,1,capitaliq_post_money_ge_1b,2026-01-06,2026-01-06,"Arena Intelligence, Inc.",positive_self,0,2026,Post-2021,1,1,1,100000000.0,18.420680753952364,100000000.0,18.420680753952364,600000000.0,600000000.0,7,7,0.6297056810403833,230,2025-05-21,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9600966237732511,,1,Q4,0-1,round_history_only,2025-2026
"Armada Systems, Inc.",armadasystems,1,capitaliq_post_money_ge_1b,2026-05-19,2026-05-19,"Armada Systems, Inc.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Arsenal Biosciences, Inc.",arsenalbiosciences,1,capitaliq_post_money_ge_1b,2024-09-04,2024-09-04,"Arsenal Biosciences, Inc.",positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
"Ascend Elements, Inc.",ascendelements,1,capitaliq_post_money_ge_1b,2024-02-20,2024-02-20,"Ascend Elements, Inc.",positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Hardware & Industrials,North America,United States,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2024
"Assort Health, Inc.",assorthealth,1,capitaliq_post_money_ge_1b,2026-06-24,2026-06-24,"Assort Health, Inc.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Enterprise Software,North America,United States,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2025-2026
"Astribot (Shenzhen) Co., Ltd.",astribotshenzhen,1,capitaliq_post_money_ge_1b,2026-06-03,2026-06-03,"Astribot (Shenzhen) Co., Ltd.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Ather Energy Limited (NSEI:ATHERENERG),atherenergynseiatherenerg,1,capitaliq_post_money_ge_1b,2024-08-13,2024-08-13,Ather Energy Limited (NSEI:ATHERENERG),positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
AUTODOC SE,autodocse,1,capitaliq_post_money_ge_1b,2024-04-24,2024-04-24,AUTODOC SE,positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
Avalyn Pharma Inc. (NasdaqGS:AVLN),avalynpharmanasdaqgsavln,1,capitaliq_post_money_ge_1b,2025-07-22,2025-07-22,Avalyn Pharma Inc. (NasdaqGS:AVLN),positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Avanse Financial Services Limited,avansefinancialservices,1,capitaliq_post_money_ge_1b,2024-03-22,2024-03-22,Avanse Financial Services Limited,positive_self,0,2024,Post-2021,1,1,1,48770000.0,17.702625948190644,48770000.0,17.702625948190644,181330000.0,181330000.0,2,2,1.5003422313483916,548,2022-09-21,Education,Asia,India,2012,1,exact_unique,control_funded,0.6984623659269182,2010-14,1,Q4,1-3,round+founding+master,2024
"Aven Financial, Inc.",avenfinancial,1,capitaliq_post_money_ge_1b,2025-09-09,2025-09-09,"Aven Financial, Inc.",positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Aww Holdings, Inc.",aww,1,capitaliq_post_money_ge_1b,2024-11-21,2024-11-21,"Aww Holdings, Inc.",positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
"Axiom Quant, Inc.",axiomquant,1,capitaliq_post_money_ge_1b,2026-03-12,2026-03-12,"Axiom Quant, Inc.",positive_self,0,2026,Post-2021,1,1,1,64000000.0,17.974393656948944,64000000.0,17.974393656948944,300000000.0,300000000.0,4,4,0.432580424366872,158,2025-10-05,Unknown,Unknown,,-1,0,unmatched,unmatched,0.8568026019418249,,1,Q4,0-1,round_history_only,2025-2026
Axis Finance Limited,axisfinance,1,capitaliq_post_money_ge_1b,2026-04-25,2026-04-25,Axis Finance Limited,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Ayar Labs, Inc.",ayar,1,capitaliq_post_money_ge_1b,2026-03-02,2026-03-02,"Ayar Labs, Inc.",positive_self,0,2026,Post-2021,2,1,2,27430000.0,17.127147899370218,24900000.0,17.030378401595577,429940000.0,429940000.0,13,11,9.541409993155373,1037,2023-04-30,Hardware & Industrials,North America,United States,-1,0,exact_unique,unicorn_current,0.8448586877501226,,2,Q4,7+,round_history_only,2025-2026
Balaji Wafers Pvt. Ltd.,balajiwaferspvt,1,capitaliq_post_money_ge_1b,2026-01-23,2026-01-23,Balaji Wafers Pvt. Ltd.,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Banco Agibank S.A.,bancoagibanksa,1,capitaliq_post_money_ge_1b,2024-12-24,2024-12-24,Banco Agibank S.A.,positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
"Banco Plata S.A., Institucion De Banca Multiple",bancoplatasainstituciondebancamultiple,1,capitaliq_post_money_ge_1b,2025-03-11,2025-03-11,"Banco Plata S.A., Institucion De Banca Multiple",positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Base Power, Inc.",basepower,1,capitaliq_post_money_ge_1b,2025-10-08,2025-10-08,"Base Power, Inc.",positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Hardware & Industrials,North America,United States,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2025-2026
"BaseTen Labs, Inc.",baseten,1,capitaliq_post_money_ge_1b,2025-09-05,2025-09-05,"BaseTen Labs, Inc.",positive_self,0,2025,Post-2021,2,1,2,20830000.0,16.851904861244837,12000000.0,16.300417291085605,13370000.0,31030000.0,4,3,3.36208076659822,1228,2022-04-26,Enterprise Software,North America,United States,-1,0,exact_unique,unicorn_current,0.3560352349436985,,2,Q4,3-7,round_history_only,2025-2026
Bedrock Robotics Inc.,bedrockrobotics,1,capitaliq_post_money_ge_1b,2026-02-04,2026-02-04,Bedrock Robotics Inc.,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Hardware & Industrials,North America,United States,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2025-2026
"Beijing Aerospace Satelliteherd Science and Technology Co., Ltd.",beijingaerospacesatelliteherdscienceand,1,capitaliq_post_money_ge_1b,2026-06-16,2026-06-16,"Beijing Aerospace Satelliteherd Science and Technology Co., Ltd.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Beijing Aishi Technology Co., Ltd.",beijingaishi,1,capitaliq_post_money_ge_1b,2026-07-13,2026-07-13,"Beijing Aishi Technology Co., Ltd.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Beijing Baichuan AI Co., Ltd.",beijingbaichuanai,1,capitaliq_post_money_ge_1b,2024-07-25,2024-07-25,"Beijing Baichuan AI Co., Ltd.",positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
"Beijing Dongchedi Technology Co., Ltd.",beijingdongchedi,1,capitaliq_post_money_ge_1b,2024-12-31,2024-12-31,"Beijing Dongchedi Technology Co., Ltd.",positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
"Beijing Galaxy Bot Co., Ltd.",beijinggalaxybot,1,capitaliq_post_money_ge_1b,2025-06-23,2025-06-23,"Beijing Galaxy Bot Co., Ltd.",positive_self,0,2025,Post-2021,1,1,1,96410000.0,18.38412049901293,96410000.0,18.38412049901293,482030000.0,482030000.0,10,10,1.0047912388774811,367,2024-06-21,Unknown,Unknown,,-1,0,unmatched,unmatched,0.974636502886376,,1,Q4,1-3,round_history_only,2025-2026
"Beijing Infrawaves Technology Co., Ltd.",beijinginfrawaves,1,capitaliq_post_money_ge_1b,2026-04-21,2026-04-21,"Beijing Infrawaves Technology Co., Ltd.",positive_self,0,2026,Post-2021,1,1,1,20870000.0,16.85382332696905,20870000.0,16.85382332696905,375440000.0,375440000.0,9,9,0.3039014373716632,111,2025-12-31,Unknown,Unknown,,-1,0,unmatched,unmatched,0.659558666898239,,1,Q4,0-1,round_history_only,2025-2026
"Beijing Jijia Vision Technology Co., Ltd.",beijingjijiavision,1,capitaliq_post_money_ge_1b,2026-06-15,2026-06-15,"Beijing Jijia Vision Technology Co., Ltd.",positive_self,0,2026,Post-2021,1,1,1,6880000.0,15.744129355258352,6880000.0,15.744129355258352,19260000.0,19260000.0,4,4,1.949349760438056,712,2024-07-03,Unknown,Unknown,,-1,0,unmatched,unmatched,0.28203770180512033,,1,Q3,1-3,round_history_only,2025-2026
"Beijing MinoSpace Technology Co.,Ltd.",beijingminospace,1,capitaliq_post_money_ge_1b,2024-06-24,2024-06-24,"Beijing MinoSpace Technology Co.,Ltd.",positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
"Beijing ModelBest Intelligent Technology Co., Ltd.",beijingmodelbestintelligent,1,capitaliq_post_money_ge_1b,2026-07-15,2026-07-15,"Beijing ModelBest Intelligent Technology Co., Ltd.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Beijing Moonshot AI Technology Co., Ltd.",beijingmoonshotai,1,capitaliq_post_money_ge_1b,2024-02-19,2024-02-19,"Beijing Moonshot AI Technology Co., Ltd.",positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2024
"Beijing Robot Era Technology Co., Ltd.",beijingrobotera,1,capitaliq_post_money_ge_1b,2026-03-05,2026-03-05,"Beijing Robot Era Technology Co., Ltd.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Beijing SemiDrive Technology Corporation,beijingsemidrive,1,capitaliq_post_money_ge_1b,2026-05-13,2026-05-13,Beijing SemiDrive Technology Corporation,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Beijing Shengshu Technology Co., Ltd.",beijingshengshu,1,capitaliq_post_money_ge_1b,2026-04-10,2026-04-10,"Beijing Shengshu Technology Co., Ltd.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Beijing SiliconFlow Technology Co., Ltd.",beijingsiliconflow,1,capitaliq_post_money_ge_1b,2026-06-16,2026-06-16,"Beijing SiliconFlow Technology Co., Ltd.",positive_self,0,2026,Post-2021,3,1,3,115760000.0,18.567029648926063,76760000.0,18.15619424213139,741060000.0,741060000.0,18,13,2.458590006844627,11,2026-06-05,Unknown,Unknown,,-1,0,unmatched,unmatched,0.8285569619895112,,3+,Q4,1-3,round_history_only,2025-2026
"Beijing WeLion New Energy Technology Co., Ltd.",beijingwelionnewenergy,1,capitaliq_post_money_ge_1b,2025-09-30,2025-09-30,"Beijing WeLion New Energy Technology Co., Ltd.",positive_self,0,2025,Post-2021,1,1,1,78220000.0,18.175035940076096,78220000.0,18.175035940076096,782240000.0,782240000.0,6,6,3.8439425051334704,1404,2021-11-26,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9296087613068719,,1,Q4,3-7,round_history_only,2025-2026
