cohort,status,rows,positive_rows,control_rows,forward_test_rows,roc_auc,pr_auc,precision,recall,specificity,f1,brier_score,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive
current_matched_controls,evaluated,4068,2034,2034,1072,0.9579266679661396,0.964830968929469,0.9326530612244898,0.8526119402985075,0.9384328358208955,0.8908382066276803,0.07734243085309389,0.2627697153260664,-0.2965065898491652,0.764895524539366,503,33,79,457
at_least_2_pre_rounds,evaluated,402,201,201,130,0.9453254437869821,0.9620979472108442,0.9642857142857143,0.8307692307692308,0.9692307692307692,0.8925619834710744,0.07645581338839369,0.26155041601288226,-0.08288413827494323,0.9602717867595502,63,2,11,54
at_least_3_pre_rounds,evaluated,122,61,61,44,0.9483471074380165,0.9621727355579031,0.8076923076923077,0.9545454545454546,0.7727272727272727,0.875,0.08301176778001748,0.2813430493960211,-0.17141551700716295,0.8407915836246117,17,5,1,21
at_least_5_years_pre_index_history,evaluated,764,382,382,330,0.9514784205693295,0.9681223770325007,0.9602649006622517,0.8787878787878788,0.9636363636363636,0.9177215189873418,0.06512601938296166,0.22548756347756915,-0.35665027252745807,1.1150122141692265,159,6,20,145
at_least_7_years_pre_index_history,evaluated,458,229,229,272,0.964424740484429,0.9767229105310511,1.0,0.875,1.0,0.9333333333333333,0.05095440200446261,0.1816282705043444,0.3197532700944866,1.2723221723023224,136,0,17,119
two_rounds_and_5_year_history,evaluated,274,137,137,106,0.9793520825916697,0.9855332265942586,1.0,0.8301886792452831,1.0,0.9072164948453608,0.06794262206286683,0.23054651636344992,0.39643467520999054,2.243212013291881,53,0,9,44
