company,tier,primary_source,valuation_b_latest,valuation_usd,funding_original_usd,funding_audited_usd,funding_audit_flag,industry_raw,industry_group,country,continent,city,founded_year,date_joined_unicorn,unicorn_year,era,years_to_unicorn,years_to_unicorn_flag,outcome,investors,investor_count,accelerator,in_yc,in_techstars,in_500global,valuation_asof,exit_date,exit_reason,exit_valuation_b,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status_asof,batch,batch_year,team_size,funding_stage,date_joined_parsed,is_unicorn_history,_ingested_at,_source_file,select_investor_count,_flag_long_path,_flag_missing_valuation,_flag_invalid_continent,ln_valuation,ln_funding
Rohlik Group,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,380000000000.0,380000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,Czech Republic,Europe,Prague,2019.0,7/1/2021,2021.0,2021,2.0,,operating,"Partech Partners, Index Ventures, Quadrille Capital",3.0,,False,False,False,2026-07,,,,380000000000.0,,,,,,,,,2021-07-01,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.755681810684706
Vectra Networks,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,352000000000.0,352000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Jose,2011.0,4/29/2021,2021.0,2021,10.0,,operating,"IA Ventures, Khosla Ventures, AME Cloud Ventures",3.0,,False,False,False,2026-07,,,,352000000000.0,,,,,,,,,2021-04-29,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.67914173356237
Aibee,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,273000000000.0,273000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,China,Asia,Beijing,2017.0,4/13/2021,2021.0,2021,4.0,,operating,"Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures",3.0,,False,False,False,2026-07,,,,273000000000.0,,,,,,,,,2021-04-13,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.424982353149232
Gem,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,148000000000.0,148000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2017.0,9/28/2021,2021.0,2021,4.0,,operating,"Accel, Greylock Partners, Meritech Capital Partners",3.0,,True,False,False,2026-07,,,,148000000000.0,,,,,,,,,2021-09-28,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,18.81272283172839
MindTickle,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,281000000000.0,281000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2012.0,8/3/2021,2021.0,2021,9.0,,operating,"Qualcomm Ventures, Accel, Canaan Partners",3.0,,False,False,False,2026-07,,,,281000000000.0,,,,,,,,,2021-08-03,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.45386522729802
Offchain Labs,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,124000000000.0,124000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Princeton,2018.0,8/31/2021,2021.0,2021,3.0,,operating,"Pantera Capital, Polychain Capital, Lightspeed Venture Partners",3.0,,False,False,False,2026-07,,,,124000000000.0,,,,,,,,,2021-08-31,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,18.63579212356931
Copado,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,271000000000.0,271000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Chicago,2013.0,9/13/2021,2021.0,2021,8.0,,operating,"Insight Partners, Salesforce Ventures, Perpetual Investors",3.0,,False,False,False,2026-07,,,,271000000000.0,,,,,,,,,2021-09-13,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.417629378843976
Pipa Coding,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,268000000000.0,268000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,China,Asia,Beijing,2017.0,3/25/2021,2021.0,2021,4.0,,operating,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management",3.0,,False,False,False,2026-07,,,,268000000000.0,,,,,,,,,2021-03-25,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.40649753847513
CarDekho,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,448000000000.0,448000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,India,Asia,Jaipur,2008.0,10/13/2021,2021.0,2021,13.0,,operating,"Sequoia Capital India, Hillhouse Capital Management, Sunley House Capital Management",3.0,,False,False,False,2026-07,,,,448000000000.0,,,,,,,,,2021-10-13,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.920303790379258
AgentSync,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,111000000000.0,111000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Insurance,Fintech,United States,North America,Denver,2018.0,12/7/2021,2021.0,2021,3.0,,operating,"Craft Ventures, Caffeinated Capital, Operator Collective",3.0,,False,False,False,2026-07,,,,111000000000.0,,,,,,,,,2021-12-07,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,18.525040759276607
