company,tier,primary_source,valuation_b_latest,valuation_usd,funding_original_usd,funding_audited_usd,funding_audit_flag,industry_raw,industry_group,country,continent,city,founded_year,date_joined_unicorn,unicorn_year,era,years_to_unicorn,years_to_unicorn_flag,outcome,investors,investor_count,accelerator,in_yc,in_techstars,in_500global,valuation_asof,exit_date,exit_reason,exit_valuation_b,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status_asof,batch,batch_year,team_size,funding_stage,date_joined_parsed,is_unicorn_history,_ingested_at,_source_file,select_investor_count,is_unicorn
DianRong,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,549000000000.0,549000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,China,Asia,Shanghai,2012.0,8/2/2017,2017.0,Pre-2021,5.0,,operating,"Standard Chartered, FinSight Ventures, Affirma Capital",3.0,,False,False,False,2026-07,,,,549000000000.0,,,,,,,,,2017-08-02,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
YH Global,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,182000000000.0,182000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,China,Asia,Shenzhen,1997.0,9/21/2017,2017.0,Pre-2021,20.0,,operating,"Co-Energy Finance, Grandland",2.0,,False,False,False,2026-07,,,,182000000000.0,,,,,,,,,2017-09-21,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
Revolution Precrafted,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,15000000000.0,15000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,Philippines,Asia,Manila,2015.0,10/23/2017,2017.0,Pre-2021,2.0,,operating,"K2 Global, 500 Startups",2.0,,False,False,False,2026-07,,,,15000000000.0,,,,,,,,,2017-10-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
WeLab,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,871000000000.0,871000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,Hong Kong,Asia,,2013.0,11/8/2017,2017.0,Pre-2021,4.0,,operating,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund",3.0,,False,False,False,2026-07,,,,871000000000.0,,,,,,,,,2017-11-08,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Maimai,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,300000000000.0,300000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,China,Asia,Beijing,2013.0,11/15/2017,2017.0,Pre-2021,4.0,,operating,"Morningside Venture Capital, IDG Capital, DCM Ventures",3.0,,False,False,False,2026-07,,,,300000000000.0,,,,,,,,,2017-11-15,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Dxy.cn,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,682000000000.0,682000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Healthcare & Life Sciences,Health & Bio,China,Asia,Hangzhou,2000.0,4/10/2018,2018.0,Pre-2021,18.0,,operating,"Tencent Holdings, DCM Ventures",2.0,,False,False,False,2026-07,,,,682000000000.0,,,,,,,,,2018-04-10,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
HMD Global,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,330000000000.0,330000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,Finland,Europe,Espoo,2016.0,5/21/2018,2018.0,Pre-2021,2.0,,operating,Ginko Ventures,1.0,,False,False,False,2026-07,,,,330000000000.0,,,,,,,,,2018-05-21,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
Huike Group,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,302000000000.0,302000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,China,Asia,Beijing,2010.0,5/24/2018,2018.0,Pre-2021,8.0,,operating,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",3.0,,False,False,False,2026-07,,,,302000000000.0,,,,,,,,,2018-05-24,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
ChinaC.com,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,China,Asia,Wuxi,,6/11/2018,2018.0,Pre-2021,,,operating,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2018-06-11,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
LinkDoc Technology,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,253000000000.0,253000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Healthcare & Life Sciences,Health & Bio,China,Asia,Beijing,2014.0,7/5/2018,2018.0,Pre-2021,4.0,,operating,"China Investment Corporation, New Enterprise Associates",2.0,,False,False,False,2026-07,,,,253000000000.0,,,,,,,,,2018-07-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
Movile,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,588000000000.0,588000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,Brazil,South America,Sao Paulo,1998.0,7/12/2018,2018.0,Pre-2021,20.0,,operating,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures",3.0,,False,False,False,2026-07,,,,588000000000.0,,,,,,,,,2018-07-12,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Pat McGrath Labs,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,60000000000.0,60000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,United States,North America,New York,2016.0,7/16/2018,2018.0,Pre-2021,2.0,,operating,"One Luxury Group, Eurazeo",2.0,,False,False,False,2026-07,,,,60000000000.0,,,,,,,,,2018-07-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
Wacai,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,369000000000.0,369000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,China,Asia,Hangzhou,2009.0,7/18/2018,2018.0,Pre-2021,9.0,,operating,"Qiming Venture Partners, China Broadband Capital, CDH Investments",3.0,,False,False,False,2026-07,,,,369000000000.0,,,,,,,,,2018-07-18,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
FlashEx,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,359000000000.0,359000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,China,Asia,Beijing,2014.0,8/27/2018,2018.0,Pre-2021,4.0,,operating,"Prometheus Capital, Matrix Partners China, JD Capital Management",3.0,,False,False,False,2026-07,,,,359000000000.0,,,,,,,,,2018-08-27,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
